Age,Education,Occupation,Relationship,Sex,Target
27,Bachelors,Sales,Not-in-family,Female,<=50K
33,Some-college,Transport-moving,Not-in-family,Male,<=50K
20,Some-college,Other-service,Own-child,Male,<=50K
55,HS-grad,Craft-repair,Not-in-family,Male,<=50K
39,Assoc-acdm,Sales,Not-in-family,Female,<=50K
41,HS-grad,Other-service,Not-in-family,Female,<=50K
30,Bachelors,Prof-specialty,Not-in-family,Female,<=50K
39,Bachelors,Sales,Not-in-family,Male,<=50K
28,HS-grad,Exec-managerial,Unmarried,Female,<=50K
25,Some-college,Sales,Own-child,Male,<=50K
31,HS-grad,Craft-repair,Husband,Male,<=50K
51,HS-grad,Transport-moving,Husband,Male,<=50K
24,Bachelors,Adm-clerical,Own-child,Male,<=50K
70,HS-grad,Protective-serv,Not-in-family,Female,<=50K
23,Some-college,Adm-clerical,Own-child,Male,<=50K
61,HS-grad,Exec-managerial,Not-in-family,Female,<=50K
45,7th-8th,Exec-managerial,Husband,Male,>50K
47,HS-grad,Handlers-cleaners,Husband,Male,<=50K
56,Some-college,Other-service,Not-in-family,Female,<=50K
79,Doctorate,Prof-specialty,Husband,Male,>50K
20,Some-college,Adm-clerical,Own-child,Female,<=50K
30,HS-grad,Craft-repair,Unmarried,Male,<=50K
27,Bachelors,Sales,Husband,Male,<=50K
40,Bachelors,Sales,Husband,Male,>50K
60,HS-grad,?,Husband,Male,<=50K
58,HS-grad,Craft-repair,Husband,Male,>50K
71,Prof-school,Farming-fishing,Husband,Male,<=50K
50,Prof-school,Prof-specialty,Husband,Male,>50K
29,Some-college,Exec-managerial,Not-in-family,Male,<=50K
33,10th,Other-service,Unmarried,Female,<=50K
60,HS-grad,Protective-serv,Husband,Male,>50K
33,Assoc-acdm,Adm-clerical,Not-in-family,Male,<=50K
43,Bachelors,Other-service,Wife,Female,>50K
33,10th,Handlers-cleaners,Unmarried,Male,<=50K
33,HS-grad,Adm-clerical,Wife,Female,<=50K
32,HS-grad,Protective-serv,Husband,Male,<=50K
21,Some-college,Other-service,Own-child,Female,<=50K
38,HS-grad,Prof-specialty,Wife,Female,<=50K
38,Some-college,Adm-clerical,Wife,Female,>50K
39,Some-college,Exec-managerial,Unmarried,Female,<=50K
17,11th,Sales,Own-child,Female,<=50K
21,Some-college,Adm-clerical,Husband,Male,<=50K
42,Some-college,Tech-support,Husband,Male,>50K
42,HS-grad,Exec-managerial,Wife,Female,>50K
36,11th,Other-service,Not-in-family,Female,<=50K
32,Some-college,Exec-managerial,Not-in-family,Female,>50K
37,Bachelors,Prof-specialty,Husband,Male,>50K
28,Bachelors,Sales,Not-in-family,Male,<=50K
37,Assoc-voc,Craft-repair,Husband,Male,<=50K
50,HS-grad,Prof-specialty,Unmarried,Female,<=50K
49,11th,Craft-repair,Husband,Male,<=50K
40,Masters,Exec-managerial,Husband,Male,>50K
40,Some-college,Other-service,Husband,Male,<=50K
49,Some-college,Craft-repair,Husband,Male,<=50K
35,Masters,Exec-managerial,Not-in-family,Male,>50K
33,HS-grad,Protective-serv,Unmarried,Male,<=50K
24,HS-grad,Craft-repair,Not-in-family,Male,<=50K
41,Masters,Adm-clerical,Not-in-family,Female,<=50K
43,Some-college,Tech-support,Husband,Male,>50K
36,HS-grad,Farming-fishing,Husband,Male,>50K
84,Bachelors,Farming-fishing,Husband,Male,<=50K
23,HS-grad,Sales,Own-child,Male,<=50K
41,Bachelors,Prof-specialty,Husband,Male,>50K
55,HS-grad,Exec-managerial,Husband,Male,>50K
30,Some-college,Craft-repair,Not-in-family,Male,<=50K
46,Assoc-acdm,Adm-clerical,Husband,Male,<=50K
55,Some-college,Exec-managerial,Husband,Male,>50K
34,Some-college,Adm-clerical,Not-in-family,Male,<=50K
54,Masters,Sales,Not-in-family,Male,<=50K
27,Some-college,Adm-clerical,Own-child,Male,<=50K
52,Masters,Prof-specialty,Wife,Female,>50K
36,Some-college,Adm-clerical,Wife,Female,>50K
25,HS-grad,Prof-specialty,Not-in-family,Male,<=50K
52,Bachelors,Exec-managerial,Husband,Male,>50K
24,HS-grad,Exec-managerial,Not-in-family,Female,<=50K
36,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
31,HS-grad,Handlers-cleaners,Husband,Male,<=50K
66,Some-college,?,Husband,Male,<=50K
90,Bachelors,Prof-specialty,Husband,Male,<=50K
67,Masters,Prof-specialty,Husband,Male,>50K
22,7th-8th,Craft-repair,Husband,Male,<=50K
47,Some-college,Adm-clerical,Not-in-family,Female,<=50K
32,Bachelors,Exec-managerial,Husband,Male,>50K
55,7th-8th,Farming-fishing,Husband,Male,<=50K
32,HS-grad,Handlers-cleaners,Not-in-family,Female,<=50K
48,Some-college,Adm-clerical,Other-relative,Female,<=50K
21,HS-grad,Sales,Husband,Male,<=50K
33,Assoc-acdm,Prof-specialty,Own-child,Female,<=50K
27,Some-college,Prof-specialty,Not-in-family,Female,<=50K
47,Assoc-voc,Prof-specialty,Not-in-family,Female,<=50K
18,11th,Other-service,Own-child,Female,<=50K
44,HS-grad,Craft-repair,Husband,Male,>50K
23,Some-college,Craft-repair,Own-child,Male,<=50K
18,10th,Sales,Own-child,Female,<=50K
56,HS-grad,Exec-managerial,Husband,Male,<=50K
24,Bachelors,Adm-clerical,Own-child,Male,<=50K
43,Bachelors,Craft-repair,Husband,Male,>50K
23,Bachelors,Sales,Own-child,Female,<=50K
26,Some-college,Sales,Own-child,Male,<=50K
42,HS-grad,Sales,Unmarried,Male,<=50K
23,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
53,10th,Craft-repair,Husband,Male,<=50K
51,HS-grad,Exec-managerial,Husband,Male,>50K
40,HS-grad,Other-service,Own-child,Male,<=50K
27,Bachelors,Prof-specialty,Not-in-family,Male,<=50K
24,Some-college,Protective-serv,Not-in-family,Male,<=50K
42,HS-grad,Craft-repair,Other-relative,Female,<=50K
41,HS-grad,Adm-clerical,Unmarried,Female,<=50K
23,Some-college,Handlers-cleaners,Own-child,Male,<=50K
42,Masters,Prof-specialty,Husband,Male,<=50K
38,HS-grad,Craft-repair,Husband,Male,>50K
63,7th-8th,Farming-fishing,Husband,Male,<=50K
31,HS-grad,Craft-repair,Husband,Male,<=50K
18,11th,Other-service,Own-child,Female,<=50K
21,Some-college,Other-service,Own-child,Male,<=50K
24,Bachelors,Prof-specialty,Other-relative,Female,<=50K
55,Some-college,Craft-repair,Husband,Male,<=50K
20,9th,Adm-clerical,Unmarried,Female,<=50K
31,Some-college,Sales,Own-child,Female,<=50K
23,Some-college,Adm-clerical,Own-child,Female,<=50K
35,HS-grad,Craft-repair,Husband,Male,<=50K
51,Some-college,Sales,Husband,Male,<=50K
19,Some-college,Protective-serv,Own-child,Female,<=50K
38,HS-grad,Protective-serv,Not-in-family,Male,<=50K
52,HS-grad,Craft-repair,Husband,Male,<=50K
70,Prof-school,Prof-specialty,Husband,Male,<=50K
53,10th,Craft-repair,Not-in-family,Male,<=50K
59,Doctorate,Exec-managerial,Husband,Male,>50K
39,Some-college,Transport-moving,Husband,Male,<=50K
18,12th,Sales,Own-child,Female,<=50K
41,HS-grad,?,Not-in-family,Female,<=50K
19,Some-college,?,Own-child,Male,<=50K
24,Some-college,Adm-clerical,Not-in-family,Female,<=50K
25,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
32,Some-college,Exec-managerial,Not-in-family,Male,<=50K
34,HS-grad,Sales,Husband,Male,>50K
35,HS-grad,Sales,Not-in-family,Female,<=50K
50,HS-grad,Adm-clerical,Husband,Male,>50K
18,HS-grad,Sales,Own-child,Male,<=50K
37,HS-grad,Adm-clerical,Not-in-family,Male,<=50K
30,Some-college,Other-service,Unmarried,Female,<=50K
40,Masters,Exec-managerial,Wife,Female,>50K
22,HS-grad,Prof-specialty,Not-in-family,Female,<=50K
50,Some-college,Other-service,Unmarried,Female,<=50K
70,HS-grad,Other-service,Not-in-family,Female,<=50K
43,Masters,Prof-specialty,Husband,Male,>50K
77,Some-college,Craft-repair,Not-in-family,Male,<=50K
30,HS-grad,Craft-repair,Husband,Male,<=50K
33,Some-college,Machine-op-inspct,Husband,Male,<=50K
51,Some-college,Sales,Husband,Male,>50K
58,Masters,Prof-specialty,Husband,Male,>50K
22,Some-college,Adm-clerical,Own-child,Male,<=50K
33,HS-grad,Transport-moving,Husband,Male,<=50K
27,11th,Sales,Husband,Male,<=50K
35,Some-college,Exec-managerial,Not-in-family,Male,<=50K
32,Some-college,Sales,Not-in-family,Female,<=50K
41,Bachelors,Tech-support,Wife,Female,>50K
37,Some-college,Craft-repair,Husband,Male,<=50K
17,11th,Sales,Own-child,Male,<=50K
50,Bachelors,Exec-managerial,Not-in-family,Male,>50K
31,HS-grad,?,Husband,Male,<=50K
54,HS-grad,Exec-managerial,Unmarried,Female,<=50K
23,HS-grad,Other-service,Own-child,Male,<=50K
40,Bachelors,Adm-clerical,Unmarried,Female,<=50K
29,Bachelors,Prof-specialty,Husband,Male,<=50K
38,HS-grad,Other-service,Not-in-family,Male,<=50K
30,Assoc-voc,Exec-managerial,Husband,Male,<=50K
20,Some-college,Sales,Own-child,Male,<=50K
43,Some-college,Farming-fishing,Husband,Male,<=50K
25,Some-college,Tech-support,Own-child,Male,<=50K
39,Masters,Sales,Husband,Male,>50K
48,Assoc-acdm,Prof-specialty,Husband,Male,>50K
41,HS-grad,Other-service,Unmarried,Female,<=50K
24,Bachelors,Adm-clerical,Not-in-family,Male,<=50K
20,Some-college,Adm-clerical,Own-child,Male,<=50K
25,Some-college,Adm-clerical,Not-in-family,Female,<=50K
57,Some-college,Craft-repair,Husband,Male,>50K
39,Some-college,Exec-managerial,Wife,Female,>50K
66,Bachelors,Prof-specialty,Husband,Male,>50K
34,Some-college,Adm-clerical,Unmarried,Female,<=50K
36,Bachelors,Prof-specialty,Not-in-family,Male,>50K
46,HS-grad,Sales,Wife,Female,<=50K
42,Masters,Prof-specialty,Unmarried,Female,<=50K
46,HS-grad,Transport-moving,Husband,Male,>50K
34,HS-grad,Protective-serv,Own-child,Male,<=50K
43,Some-college,Tech-support,Wife,Female,<=50K
42,Some-college,Exec-managerial,Own-child,Female,<=50K
31,Bachelors,Sales,Not-in-family,Male,<=50K
70,Some-college,?,Husband,Male,<=50K
32,Some-college,Exec-managerial,Husband,Male,<=50K
46,HS-grad,Adm-clerical,Husband,Male,>50K
42,7th-8th,Craft-repair,Unmarried,Male,<=50K
21,Assoc-voc,Exec-managerial,Own-child,Male,<=50K
24,Bachelors,Sales,Not-in-family,Female,<=50K
23,HS-grad,Sales,Other-relative,Male,<=50K
50,Masters,Prof-specialty,Husband,Male,>50K
37,Some-college,Adm-clerical,Unmarried,Female,<=50K
19,11th,?,Unmarried,Female,<=50K
44,Assoc-acdm,Craft-repair,Husband,Male,>50K
29,HS-grad,Transport-moving,Husband,Male,<=50K
30,Assoc-voc,Adm-clerical,Wife,Female,<=50K
36,Some-college,Sales,Husband,Male,<=50K
49,Bachelors,Sales,Not-in-family,Male,<=50K
29,HS-grad,Craft-repair,Not-in-family,Male,<=50K
45,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
75,Doctorate,Prof-specialty,Husband,Male,>50K
42,HS-grad,Priv-house-serv,Not-in-family,Female,<=50K
37,Assoc-acdm,Exec-managerial,Not-in-family,Female,<=50K
51,Bachelors,Machine-op-inspct,Husband,Male,<=50K
61,HS-grad,Farming-fishing,Husband,Male,<=50K
33,Assoc-acdm,Exec-managerial,Unmarried,Female,<=50K
50,HS-grad,Adm-clerical,Husband,Male,<=50K
59,HS-grad,Machine-op-inspct,Not-in-family,Male,<=50K
25,HS-grad,Adm-clerical,Unmarried,Female,<=50K
22,HS-grad,Handlers-cleaners,Own-child,Male,<=50K
56,Some-college,Transport-moving,Husband,Male,>50K
44,Bachelors,Adm-clerical,Unmarried,Female,<=50K
35,Assoc-voc,Craft-repair,Husband,Male,<=50K
57,HS-grad,Exec-managerial,Not-in-family,Male,<=50K
47,HS-grad,Farming-fishing,Husband,Male,>50K
27,Bachelors,Exec-managerial,Not-in-family,Female,<=50K
50,HS-grad,Farming-fishing,Husband,Male,<=50K
30,Bachelors,Prof-specialty,Own-child,Male,<=50K
46,11th,Transport-moving,Husband,Male,<=50K
48,Prof-school,Prof-specialty,Husband,Male,>50K
61,Bachelors,Adm-clerical,Not-in-family,Male,>50K
33,HS-grad,Transport-moving,Not-in-family,Male,<=50K
40,HS-grad,Other-service,Husband,Male,<=50K
58,Some-college,Exec-managerial,Husband,Male,>50K
46,Masters,Exec-managerial,Husband,Male,>50K
35,Some-college,Prof-specialty,Husband,Male,>50K
51,Some-college,Exec-managerial,Unmarried,Female,<=50K
37,12th,Other-service,Own-child,Female,<=50K
64,Masters,Prof-specialty,Husband,Male,<=50K
41,HS-grad,Craft-repair,Not-in-family,Male,<=50K
18,11th,Handlers-cleaners,Own-child,Male,<=50K
44,11th,Farming-fishing,Husband,Male,<=50K
41,Bachelors,Prof-specialty,Wife,Female,>50K
33,Some-college,Prof-specialty,Not-in-family,Male,>50K
37,9th,Priv-house-serv,Unmarried,Female,<=50K
34,Some-college,Adm-clerical,Own-child,Female,<=50K
24,Bachelors,Tech-support,Own-child,Female,<=50K
20,Some-college,Handlers-cleaners,Own-child,Male,<=50K
38,Bachelors,Exec-managerial,Husband,Male,<=50K
28,Assoc-voc,Other-service,Not-in-family,Female,<=50K
20,HS-grad,Transport-moving,Own-child,Male,<=50K
22,Bachelors,Tech-support,Own-child,Male,<=50K
55,Bachelors,Adm-clerical,Unmarried,Female,<=50K
20,Some-college,Prof-specialty,Not-in-family,Male,<=50K
26,Bachelors,Prof-specialty,Not-in-family,Female,<=50K
20,HS-grad,Farming-fishing,Own-child,Male,<=50K
40,9th,Other-service,Not-in-family,Female,<=50K
33,HS-grad,Sales,Husband,Male,>50K
54,Some-college,?,Own-child,Male,<=50K
24,HS-grad,Sales,Not-in-family,Female,<=50K
25,Some-college,Exec-managerial,Own-child,Male,<=50K
18,11th,Other-service,Own-child,Male,<=50K
49,HS-grad,Craft-repair,Husband,Male,<=50K
17,12th,Handlers-cleaners,Own-child,Male,<=50K
34,Assoc-voc,Craft-repair,Husband,Male,<=50K
37,Bachelors,Prof-specialty,Husband,Male,>50K
49,Some-college,Exec-managerial,Husband,Male,>50K
74,HS-grad,Adm-clerical,Not-in-family,Female,>50K
37,HS-grad,Farming-fishing,Not-in-family,Male,<=50K
20,11th,Handlers-cleaners,Husband,Male,<=50K
40,HS-grad,Exec-managerial,Wife,Female,>50K
34,Bachelors,Sales,Not-in-family,Male,>50K
30,Prof-school,Prof-specialty,Husband,Male,<=50K
44,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
40,10th,Other-service,Wife,Female,<=50K
58,HS-grad,Sales,Wife,Female,<=50K
44,HS-grad,Craft-repair,Husband,Male,<=50K
42,Some-college,Sales,Husband,Male,>50K
39,HS-grad,Other-service,Not-in-family,Male,<=50K
19,HS-grad,Other-service,Own-child,Male,<=50K
41,Masters,Exec-managerial,Husband,Male,>50K
29,Masters,Prof-specialty,Not-in-family,Male,<=50K
34,Some-college,Craft-repair,Other-relative,Male,<=50K
38,Some-college,?,Husband,Male,<=50K
27,Preschool,Farming-fishing,Other-relative,Male,<=50K
54,Some-college,Craft-repair,Unmarried,Female,<=50K
40,HS-grad,Machine-op-inspct,Unmarried,Female,<=50K
19,Some-college,Sales,Other-relative,Female,<=50K
17,11th,Other-service,Own-child,Male,<=50K
33,Some-college,Sales,Husband,Male,<=50K
80,7th-8th,Other-service,Not-in-family,Female,<=50K
24,HS-grad,Craft-repair,Own-child,Male,<=50K
28,Bachelors,Prof-specialty,Own-child,Male,<=50K
55,HS-grad,Exec-managerial,Wife,Female,>50K
21,Some-college,Exec-managerial,Own-child,Male,<=50K
51,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
19,HS-grad,Machine-op-inspct,Own-child,Female,<=50K
42,HS-grad,Other-service,Not-in-family,Female,<=50K
60,HS-grad,Exec-managerial,Husband,Male,<=50K
20,Some-college,?,Own-child,Female,<=50K
51,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
21,Some-college,Other-service,Own-child,Female,<=50K
37,Some-college,Craft-repair,Husband,Male,<=50K
26,HS-grad,Machine-op-inspct,Not-in-family,Male,<=50K
42,Masters,Exec-managerial,Not-in-family,Female,>50K
40,Some-college,Handlers-cleaners,Husband,Male,<=50K
55,Masters,Prof-specialty,Husband,Male,>50K
33,HS-grad,Other-service,Not-in-family,Male,<=50K
62,HS-grad,Transport-moving,Husband,Male,>50K
47,10th,Sales,Unmarried,Female,<=50K
26,12th,Sales,Other-relative,Male,<=50K
59,HS-grad,Adm-clerical,Unmarried,Female,<=50K
70,Some-college,Adm-clerical,Not-in-family,Female,<=50K
26,Some-college,Adm-clerical,Not-in-family,Female,<=50K
47,10th,Sales,Husband,Male,<=50K
25,Masters,Exec-managerial,Not-in-family,Female,<=50K
52,Prof-school,Prof-specialty,Husband,Male,>50K
46,HS-grad,Craft-repair,Husband,Male,<=50K
67,10th,Transport-moving,Husband,Male,<=50K
34,Masters,Exec-managerial,Husband,Male,>50K
53,Some-college,Adm-clerical,Other-relative,Female,<=50K
22,Bachelors,Adm-clerical,Not-in-family,Female,<=50K
39,HS-grad,Adm-clerical,Own-child,Male,<=50K
54,HS-grad,Craft-repair,Husband,Male,<=50K
24,Bachelors,Sales,Husband,Male,<=50K
37,HS-grad,Prof-specialty,Unmarried,Female,<=50K
38,10th,Prof-specialty,Not-in-family,Male,>50K
41,Masters,Prof-specialty,Not-in-family,Female,<=50K
36,HS-grad,Transport-moving,Husband,Male,<=50K
43,Assoc-voc,Exec-managerial,Husband,Male,>50K
39,Bachelors,Prof-specialty,Not-in-family,Male,<=50K
26,Bachelors,Sales,Own-child,Male,<=50K
49,Masters,Prof-specialty,Not-in-family,Female,<=50K
37,Bachelors,Prof-specialty,Husband,Male,>50K
43,Some-college,Exec-managerial,Husband,Male,>50K
54,HS-grad,Prof-specialty,Husband,Male,>50K
53,5th-6th,Sales,Husband,Male,>50K
57,Masters,Prof-specialty,Husband,Male,<=50K
28,Bachelors,Prof-specialty,Husband,Male,>50K
29,Bachelors,Other-service,Husband,Male,<=50K
21,HS-grad,Sales,Own-child,Male,<=50K
51,HS-grad,Craft-repair,Husband,Male,<=50K
46,HS-grad,Transport-moving,Husband,Male,<=50K
50,Prof-school,Prof-specialty,Husband,Male,>50K
50,HS-grad,Exec-managerial,Unmarried,Female,<=50K
36,HS-grad,Exec-managerial,Unmarried,Female,<=50K
31,Bachelors,Prof-specialty,Husband,Male,<=50K
20,HS-grad,Adm-clerical,Own-child,Female,<=50K
36,HS-grad,Handlers-cleaners,Husband,Male,<=50K
38,HS-grad,Craft-repair,Own-child,Male,<=50K
37,Bachelors,Craft-repair,Husband,Male,>50K
39,Masters,Prof-specialty,Husband,Male,>50K
18,10th,Farming-fishing,Own-child,Male,<=50K
33,HS-grad,Sales,Not-in-family,Male,<=50K
35,HS-grad,Tech-support,Not-in-family,Female,<=50K
23,Some-college,Handlers-cleaners,Own-child,Male,<=50K
37,Bachelors,Other-service,Unmarried,Female,<=50K
25,HS-grad,Other-service,Husband,Male,<=50K
51,Assoc-acdm,Tech-support,Husband,Male,<=50K
35,HS-grad,Craft-repair,Husband,Male,<=50K
54,11th,Machine-op-inspct,Husband,Male,<=50K
66,HS-grad,?,Husband,Male,<=50K
32,HS-grad,Other-service,Unmarried,Female,<=50K
37,Bachelors,Protective-serv,Not-in-family,Male,>50K
29,Bachelors,Sales,Husband,Male,>50K
45,Bachelors,Handlers-cleaners,Husband,Male,<=50K
61,Some-college,Sales,Husband,Male,<=50K
40,Some-college,Adm-clerical,Unmarried,Female,<=50K
24,HS-grad,Transport-moving,Not-in-family,Female,<=50K
49,7th-8th,Machine-op-inspct,Husband,Male,<=50K
51,Masters,Exec-managerial,Unmarried,Male,>50K
34,HS-grad,Transport-moving,Husband,Male,<=50K
28,HS-grad,?,Unmarried,Female,<=50K
20,Some-college,Sales,Own-child,Male,<=50K
30,Some-college,Adm-clerical,Unmarried,Female,<=50K
49,Masters,Prof-specialty,Unmarried,Male,>50K
26,Some-college,Sales,Not-in-family,Male,<=50K
63,10th,Adm-clerical,Husband,Male,<=50K
36,Assoc-acdm,Transport-moving,Not-in-family,Male,<=50K
63,Bachelors,Prof-specialty,Husband,Male,>50K
22,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
40,HS-grad,Sales,Husband,Male,>50K
31,7th-8th,Adm-clerical,Not-in-family,Female,<=50K
49,Some-college,Craft-repair,Husband,Male,<=50K
35,Masters,Prof-specialty,Not-in-family,Male,>50K
23,Bachelors,Prof-specialty,Own-child,Female,<=50K
25,Assoc-voc,Sales,Not-in-family,Male,>50K
34,HS-grad,?,Husband,Male,<=50K
28,Bachelors,Craft-repair,Husband,Male,>50K
44,Some-college,Machine-op-inspct,Not-in-family,Male,<=50K
33,HS-grad,Transport-moving,Not-in-family,Male,<=50K
21,Some-college,Adm-clerical,Not-in-family,Male,<=50K
55,11th,Other-service,Husband,Male,<=50K
17,11th,?,Own-child,Female,<=50K
75,HS-grad,Sales,Not-in-family,Male,<=50K
61,9th,Machine-op-inspct,Unmarried,Female,<=50K
53,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
26,Assoc-acdm,Protective-serv,Husband,Male,>50K
48,Some-college,Sales,Unmarried,Male,>50K
28,Masters,Exec-managerial,Husband,Male,>50K
30,Bachelors,?,Not-in-family,Female,<=50K
29,HS-grad,Handlers-cleaners,Husband,Male,<=50K
25,Some-college,Tech-support,Own-child,Female,<=50K
37,HS-grad,Transport-moving,Husband,Male,<=50K
43,Bachelors,Prof-specialty,Unmarried,Female,<=50K
40,HS-grad,Transport-moving,Husband,Male,<=50K
34,10th,Craft-repair,Husband,Male,>50K
55,Doctorate,Prof-specialty,Husband,Male,>50K
31,Assoc-acdm,Tech-support,Not-in-family,Male,<=50K
21,Some-college,?,Own-child,Female,<=50K
32,HS-grad,Farming-fishing,Husband,Male,<=50K
26,Prof-school,Prof-specialty,Not-in-family,Male,<=50K
26,Bachelors,Prof-specialty,Husband,Male,>50K
44,Some-college,Transport-moving,Husband,Male,<=50K
49,HS-grad,Transport-moving,Husband,Male,>50K
21,HS-grad,?,Own-child,Female,<=50K
26,HS-grad,Adm-clerical,Unmarried,Female,<=50K
40,HS-grad,Farming-fishing,Husband,Male,<=50K
19,11th,Adm-clerical,Not-in-family,Female,<=50K
58,HS-grad,Farming-fishing,Husband,Male,<=50K
61,Assoc-voc,Tech-support,Husband,Male,>50K
28,Some-college,Sales,Own-child,Male,<=50K
26,Bachelors,Farming-fishing,Own-child,Male,<=50K
64,HS-grad,Adm-clerical,Not-in-family,Female,<=50K
42,Bachelors,Exec-managerial,Husband,Male,>50K
41,Some-college,Tech-support,Husband,Male,>50K
45,HS-grad,Handlers-cleaners,Not-in-family,Male,<=50K
39,Bachelors,Sales,Husband,Male,>50K
41,HS-grad,Other-service,Husband,Male,<=50K
51,11th,Other-service,Not-in-family,Female,<=50K
34,Assoc-voc,Adm-clerical,Unmarried,Female,<=50K
33,Masters,Exec-managerial,Husband,Male,>50K
23,Some-college,Other-service,Not-in-family,Male,>50K
35,Some-college,Craft-repair,Husband,Male,<=50K
41,11th,Priv-house-serv,Unmarried,Female,<=50K
39,Masters,Craft-repair,Not-in-family,Female,<=50K
41,Some-college,Sales,Husband,Male,<=50K
33,Some-college,Exec-managerial,Husband,Male,<=50K
22,HS-grad,Other-service,Other-relative,Male,<=50K
25,Some-college,Exec-managerial,Other-relative,Female,<=50K
25,Some-college,Machine-op-inspct,Own-child,Female,<=50K
77,7th-8th,Adm-clerical,Not-in-family,Male,>50K
33,Assoc-voc,?,Own-child,Female,<=50K
66,HS-grad,Sales,Not-in-family,Female,<=50K
19,Some-college,Sales,Own-child,Male,<=50K
44,HS-grad,Other-service,Unmarried,Female,<=50K
45,Masters,Sales,Unmarried,Female,>50K
28,Some-college,Sales,Not-in-family,Male,<=50K
19,HS-grad,Handlers-cleaners,Other-relative,Male,<=50K
43,HS-grad,Machine-op-inspct,Husband,Male,>50K
39,Bachelors,Tech-support,Husband,Male,>50K
33,Bachelors,Sales,Husband,Male,<=50K
44,HS-grad,Other-service,Not-in-family,Female,<=50K
62,7th-8th,Machine-op-inspct,Not-in-family,Female,<=50K
40,Some-college,Sales,Husband,Male,>50K
41,HS-grad,Other-service,Not-in-family,Male,<=50K
23,Some-college,Other-service,Not-in-family,Male,<=50K
48,HS-grad,Craft-repair,Husband,Male,>50K
38,Masters,Prof-specialty,Husband,Male,<=50K
37,Masters,Exec-managerial,Husband,Male,>50K
45,Masters,Prof-specialty,Husband,Male,>50K
29,HS-grad,Protective-serv,Husband,Male,<=50K
66,HS-grad,Adm-clerical,Unmarried,Female,<=50K
19,HS-grad,Other-service,Not-in-family,Female,<=50K
23,9th,Handlers-cleaners,Other-relative,Male,<=50K
34,Bachelors,Tech-support,Husband,Male,>50K
39,Masters,Exec-managerial,Not-in-family,Female,<=50K
33,HS-grad,Transport-moving,Not-in-family,Male,<=50K
43,Some-college,Sales,Unmarried,Female,<=50K
27,HS-grad,Transport-moving,Husband,Male,<=50K
33,Some-college,Adm-clerical,Own-child,Male,<=50K
26,5th-6th,Farming-fishing,Husband,Male,<=50K
56,Masters,Exec-managerial,Not-in-family,Male,>50K
46,HS-grad,Sales,Husband,Male,<=50K
38,Assoc-acdm,Craft-repair,Unmarried,Female,<=50K
90,11th,Craft-repair,Husband,Male,<=50K
72,Some-college,Exec-managerial,Husband,Male,>50K
20,HS-grad,Adm-clerical,Unmarried,Female,<=50K
29,HS-grad,Craft-repair,Husband,Male,<=50K
49,11th,Transport-moving,Husband,Male,<=50K
23,HS-grad,Other-service,Unmarried,Female,<=50K
20,Some-college,Sales,Own-child,Female,<=50K
57,Bachelors,Exec-managerial,Husband,Male,<=50K
46,Assoc-acdm,Prof-specialty,Unmarried,Female,<=50K
33,Bachelors,Prof-specialty,Husband,Male,>50K
24,Bachelors,Sales,Not-in-family,Male,<=50K
49,Assoc-voc,Craft-repair,Husband,Male,<=50K
54,HS-grad,Transport-moving,Husband,Male,<=50K
46,Doctorate,Prof-specialty,Not-in-family,Female,>50K
31,Assoc-voc,Craft-repair,Husband,Male,<=50K
43,Prof-school,Prof-specialty,Husband,Male,>50K
18,Some-college,?,Own-child,Female,<=50K
19,HS-grad,Machine-op-inspct,Own-child,Male,<=50K
46,Assoc-acdm,Adm-clerical,Not-in-family,Male,<=50K
43,Bachelors,Prof-specialty,Not-in-family,Male,<=50K
58,HS-grad,Craft-repair,Unmarried,Male,<=50K
43,HS-grad,Sales,Husband,Male,<=50K
37,Some-college,?,Unmarried,Male,<=50K
21,12th,Adm-clerical,Own-child,Male,<=50K
52,Masters,Adm-clerical,Not-in-family,Male,>50K
34,Assoc-voc,Craft-repair,Husband,Male,>50K
28,Assoc-voc,Handlers-cleaners,Own-child,Female,<=50K
34,HS-grad,Transport-moving,Not-in-family,Male,<=50K
29,HS-grad,Machine-op-inspct,Husband,Male,>50K
39,HS-grad,Farming-fishing,Husband,Male,<=50K
49,11th,Machine-op-inspct,Unmarried,Female,<=50K
35,Some-college,Craft-repair,Husband,Male,>50K
31,Some-college,Other-service,Own-child,Female,<=50K
18,Some-college,Handlers-cleaners,Own-child,Male,<=50K
47,HS-grad,Other-service,Husband,Male,>50K
46,HS-grad,Sales,Husband,Male,<=50K
43,Bachelors,Sales,Husband,Male,>50K
51,HS-grad,Craft-repair,Husband,Male,>50K
21,Some-college,Adm-clerical,Not-in-family,Female,<=50K
18,Some-college,?,Own-child,Male,<=50K
31,Bachelors,Prof-specialty,Wife,Female,>50K
39,HS-grad,Protective-serv,Husband,Male,>50K
